speaker	start	end	rank	text	
MIO036 	47.16	47.4 0.185454545454545 Right 	
MIO046 	47.74	48.03 0.186181818181818 Right 	
MIO095 	48.29	48.58 0.186909090909091 Hello 	
MIO036 	48.97	49.59 0.187636363636364 Hi everyone 	
MIO046 	49.25	49.83 0.188363636363636 So 	
MIO046 	50.72	54.26 0.189090909090909 I don't know if you all received the t. i. and enough for this meeting 	
MIO046 	54.8	55.2 0.189818181818182 You 	
MIO095 	55.18	56.1 0.190545454545455 No i haven't 	
MIO046 	55.67	56.05 0.191272727272727 No 	
MIO046 	57.17	57.74 0.192 Which is 	
MIO095 	57.34	57.71 0.192727272727273 Thank you 	
MIO036 	58.12	58.82 0.193454545454545 I have to 	
MIO046 	59.88	60.61 0.194181818181818 So um 	
MIO046 	61.28	61.77 0.194909090909091 Um 	
MIO046 	62.45	64.66 0.195636363636364 The goal for today of um 	
MIO046 	64.66	66.84 0.196363636363636 we have Two goals um 	
MIO046 	66.84	70.89 0.106909090909091 first is to decide the movie for uh the next projection for a movie club 	
MIO036 	71.62	72.1 0.197090909090909 Uh-huh 	
MIO046 	72.11	76.27 0.0501818181818182 As you know uh so it's for the last friday of this month of fact real 	
MIO046 	77.01	81.56 0.0458181818181818 As you probably remember of the movie already projected where uh lawrence of um 	
MIO046 	81.56	81.87 0.197818181818182 yeah 	
MIO046 	82.27	85.66 0.198545454545455 And apocalypse now since february and i'm at it was 	
MIO046 	86.07	87.82 0.199272727272727 last format in march 	
MIO046 	89.45	91.02 0.2 So um 	
MIO046 	91.02	91.7 0.200727272727273 the question 	
MIO046 	92.74	96.94 0.0363636363636364 Is it up and these are we going to select a movie from the nineties and which which 	
MIO046 	97.41	101.65 0.107636363636364 So that's the first goal decide for movie to be protected and simple goal is to 	
MIO046 	102.25	104.02 0.201454545454545 Uh discuss for um 	
MIO046 	104.02	105.81 0.202181818181818 are advertising posture 	
MIO046 	106.64	107.23 0.202909090909091 Um 	
MIO046 	107.23	108.45 0.203636363636364 for how how um 	
MIO046 	108.94	109.83 0.204363636363636 Uh 	
MIO046 	109.83	110.19 0.205090909090909 time 	
MIO046 	110.79	115.09 0.100363636363636 Because we not is that in the last time not enough people came to the projection 	
MIO046 	116.11	118.69 0.205818181818182 So that's it's um 	
MIO046 	119.39	120.46 0.206545454545455 Who wants to start 	
MIO046 	120.87	121.28 0.207272727272727 Two 	
MIO046 	123.23	127.36 0.0581818181818182 So i guess you all prepared some documents or so um selection of moving 	
FIE038 	127.63	127.9 0.208 Yeah 	
MIO036 	128.26	131.09 0.208727272727273 Yes so who who has what's actually maybe 	
MIO036 	131.72	132.2 0.209454545454545 I am 	
FIE038 	131.82	134.24 0.210181818181818 And i've got a powerpoint presentation 	
MIO036 	135.02	136.45 0.210909090909091 Oh we do have me right 	
MIO095 	136.53	142.75 0.117818181818182 Okay i had a powerpoint presentation and it uh it's about that they are some reviews of the of the all i think that's the movies 	
MIO036 	142.91	143.29 0.211636363636364 Uh-huh 	
MIO036 	143.92	145.35 0.212363636363636 And i have a um 	
MIO036 	146.11	147.33 0.213090909090909 Well just uh 	
MIO036 	148.14	151.33 0.213818181818182 A piece of paper with some suggestions well but you didn't 	
MIO046 	151.27	151.61 0.214545454545455 Yeah 	
MIO046 	151.61	155.01 0.215272727272727 yeah also a piece of paper with uh with my favourite movie 	
MIO036 	155.3	155.64 0.216 Oh 	
MIO046 	156.41	157.09 0.216727272727273 Okay so 	
MIO036 	156.83	159.28 0.032 Should we start with that Two presentations maybe yep 	
MIO046 	157.99	158.76 0.217454545454545 Presentations 	
MIO046 	159.64	160.02 0.218181818181818 Okay 	
MIO046 	160.48	161.8 0.0872727272727273 I guess we can start with you 	
FIE038 	163.82	165.35 0.218909090909091 It's not very long in any case 	
MIO046 	166.71	167.39 0.219636363636364 here it is 	
MIO046 	168.73	169.64 0.220363636363636 I pass this one 	
FIE038 	169.03	169.85 0.221090909090909 Mm yeah 	
FIE038 	169.85	170.57 0.221818181818182 i 	
FIE038 	172.57	180.04 0.0610909090909091 Okay so What i was thinking is basically the previous movies that we had which you've already mentioned see in the agenda um 	
FIE038 	180.04	188.46	0.222545454545455 once every the apocalypse now and amadeus What really historical serious dramatic and also action in movies except for maybe amadeus 	
FIE038 	189.1	189.59	0.223272727272727 Um 	
FIE038 	189.59	196.23	0.00290909090909091 that's not i was thinking of selecting something that's more in the present time Still dramatic but slightly less serious 	
FIE038 	197.24	199.23	0.224 And what i propose is something of uh 	
FIE038 	199.58	200.78	0.224727272727273 A thriller a mystery 	
FIE038 	202.09	203.66	0.225454545454545 know that a lot of people find 	
FIE038 	204.15	208.22	0.0698181818181818 Mysteries not really missed reason the movies these days a kind of can predict what's gonna happen 	
FIE038 	208.87	209.36	0.226181818181818 Um 	
FIE038 	209.36	215.08	0.171636363636364 but in the nineties there were some movies that did have supplies and things and and people came out saying okay didn't see that coming 	
FIE038 	215.57	217.56	0.226909090909091 So i thought we could maybe show one of those 	
FIE038 	217.96	222.72	0.0138181818181818 And Even if people are very seen the movie a lot of the times you go back and watch the movie again 	
FIE038 	223.13	232.46	0.101090909090909 And you pick up on things that you didn't really notice the first time around or you see where the clues work And what led up to the end so that's more along the lines of us thinking 	
FIE038 	233.41	236.19	0.227636363636364 And it to in particular that i would propose are 	
FIE038 	237.4	238.35	0.168727272727273 Next slide please 	
FIE038 	239.01	241.66	0.0792727272727273 The usual suspects and a six cents um 	
FIE038 	241.66	243.81	0.228363636363636 i don't know if you've seen any of them 	
FIE038 	244.38	250.63	0.08 Uh the usual suspects Why is directed by brian singer and written by chris from corey 	
FIE038 	251.13	257.83	0.229090909090909 It has a fairly large cast so i'm not gonna read all of them but the main characters you kevin spacey and gabriel byrne 	
FIE038 	258.51	259.65	0.229818181818182 And it's basically 	
FIE038 	260.25	262.05	0.230545454545455 criminals to get set out 	
FIE038 	262.73	263.17	0.231272727272727 Um 	
FIE038 	263.17	265.36	0.232 the rested The release from prison 	
FIE038 	266.13	267.07	0.232727272727273 They get together 	
FIE038 	267.52	268.17	0.233454545454545 Um 	
FIE038 	268.17	270.27	0.0705454545454546 and it's kind of crime 	
FIE038 	270.93	275.05	0.0196363636363636 And basically the stories tall through the views of one of the suspects 	
FIE038 	275.8	276.38	0.234181818181818 Um 	
FIE038 	276.7	280.16	0.234909090909091 That had one is kinda neat five criminals one line at know common sense 	
FIE038 	280.61	283.23	0.235636363636364 And you get whole story um 	
FIE038 	283.23	283.96	0.236363636363636 as 	
FIE038 	284.86	285.27	0.237090909090909 Uh 	
FIE038 	285.27	288.39	0.237818181818182 that these characters you being control um 	
FIE038 	288.39	290.54	0.238545454545455 by one sort of ravel and 	
FIE038 	291.07	293.56	0.124363636363636 And in the end you find it in brazil and what is 	
FIE038 	294.13	299.47	0.00945454545454546 And i kind of like the the call for rolling stone magazine the usual suspects the fascist funniest 	
MIO046 	298.85	303.9	0.176727272727273 Which which one was it again the guy was controlling i don't remember i have seen the movie twice but uh 	
FIE038 	303.84	305.62	0.239272727272727 Well they had any guess in a movie 	
MIO036 	305.6	306.5	0.24 No i haven't seen a 	
MIO095 	306.25	306.88	0.240727272727273 No i haven't 	
MIO046 	306.97	308.8	0.241454545454545 It's the bald guy the 	
FIE038 	307.09	309.13	0.242181818181818 So i'm not gonna give away 	
FIE038 	309.83	311.1	0.242909090909091 You wanna go away the movie 	
MIO046 	310.9	313.83	0.243636363636364 I know that i i 	
FIE038 	312.4	314.99	0.244363636363636 Well i i was a u. s. i. 	
FIE038 	316.22	324.01	0.0472727272727273 But the the call from rolling stone is fairly accurate i think it's one of the freshest fun isn't scary is kinda worse to come along since pulp fiction 	
FIE038 	325.19	330.44	0.064 And the other movie is a six cents worth the famous line i see that people watch the little boy says 	
FIE038 	331.22	331.65	0.245090909090909 Um 	
FIE038 	331.65	338.98	0.245818181818182 it was written and directed by and they uh she on the line And stars bruce willis really joe was meant and then it'll act 	
FIE038 	339.61	342.55	0.125090909090909 And again it has any twice that you find out right at the end 	
MIO046 	343.93	344.41	0.246545454545455 Yeah 	
MIO046 	344.41	347.02	0.155636363636364 it's a bit more commercial that one but yeah for school 	
FIE038 	346.21	346.53	0.247272727272727 Yeah 	
